d1,d2,d3,d4,points,dice_remaining,probability
1.0,1.0,1.0,1.0,1000.0,6.0,0.0007716049382716049
1.0,1.0,1.0,2.0,300.0,1.0,0.0030864197530864196
1.0,1.0,1.0,3.0,300.0,1.0,0.0030864197530864196
1.0,1.0,1.0,4.0,300.0,1.0,0.0030864197530864196
1.0,1.0,1.0,5.0,350.0,6.0,0.0030864197530864196
1.0,1.0,1.0,6.0,300.0,1.0,0.0030864197530864196
1.0,1.0,2.0,2.0,200.0,2.0,0.004629629629629629
1.0,1.0,2.0,3.0,200.0,2.0,0.009259259259259259
1.0,1.0,2.0,4.0,200.0,2.0,0.009259259259259259
1.0,1.0,2.0,5.0,250.0,1.0,0.009259259259259259
1.0,1.0,2.0,6.0,200.0,2.0,0.009259259259259259
1.0,1.0,3.0,3.0,200.0,2.0,0.004629629629629629
1.0,1.0,3.0,4.0,200.0,2.0,0.009259259259259259
1.0,1.0,3.0,5.0,250.0,1.0,0.009259259259259259
1.0,1.0,3.0,6.0,200.0,2.0,0.009259259259259259
1.0,1.0,4.0,4.0,200.0,2.0,0.004629629629629629
1.0,1.0,4.0,5.0,250.0,1.0,0.009259259259259259
1.0,1.0,4.0,6.0,200.0,2.0,0.009259259259259259
1.0,1.0,5.0,5.0,300.0,6.0,0.004629629629629629
1.0,1.0,5.0,6.0,250.0,1.0,0.009259259259259259
1.0,1.0,6.0,6.0,200.0,2.0,0.004629629629629629
1.0,2.0,2.0,2.0,300.0,6.0,0.0030864197530864196
1.0,2.0,2.0,3.0,100.0,3.0,0.009259259259259259
1.0,2.0,2.0,4.0,100.0,3.0,0.009259259259259259
1.0,2.0,2.0,5.0,150.0,2.0,0.009259259259259259
1.0,2.0,2.0,6.0,100.0,3.0,0.009259259259259259
1.0,2.0,3.0,3.0,100.0,3.0,0.009259259259259259
1.0,2.0,3.0,4.0,100.0,3.0,0.018518518518518517
1.0,2.0,3.0,5.0,150.0,2.0,0.018518518518518517
1.0,2.0,3.0,6.0,100.0,3.0,0.018518518518518517
1.0,2.0,4.0,4.0,100.0,3.0,0.009259259259259259
1.0,2.0,4.0,5.0,150.0,2.0,0.018518518518518517
1.0,2.0,4.0,6.0,100.0,3.0,0.018518518518518517
1.0,2.0,5.0,5.0,200.0,1.0,0.009259259259259259
1.0,2.0,5.0,6.0,150.0,2.0,0.018518518518518517
